file,folder,time_s,channel,members,n_channels,score,polarity,prominence,l1_sharpness
S01_009_EEG_01.edf,,677.004,P8,F8@676.988:27.5;F7@677.000:23.0;FP1@677.000:20.8;P8@677.004:27.7;P4@677.008:21.7;F3@677.036:22.3;FZ@677.040:20.5;PZ@677.084:15.8,8,0.064266,1,8.6755,7.8308
S01_009_EEG_01.edf,,677.16,O1,P7@677.132:30.6;O1@677.160:32.7,2,0.053671,1,12.8519,7.2307
S01_009_EEG_01.edf,,677.364,FP1,PZ@677.360:22.5;F3@677.364:19.4;FP1@677.364:28.3,3,0.03684,1,43.1651,7.4452
S01_009_EEG_01.edf,,677.732,O2,O2@677.732:29.2;F8@677.764:15.9;FP2@677.768:22.1,3,0.04673,-1,20.5322,6.3714
S01_009_EEG_01.edf,,677.944,P7,P7@677.944:52.2;FP1@677.968:29.2;FP2@677.968:29.9;P3@677.968:39.4;F7@677.972:20.9;F8@677.972:25.5;O1@677.972:47.9;F3@677.976:19.9;FZ@677.976:26.9;CZ@677.988:30.4;PZ@677.996:28.2;C3@678.028:28.5;C4@678.028:42.3;P4@678.028:40.1;F4@678.060:40.0;T8@678.092:22.0,16,0.941008,-1,21.3068,7.0098
S01_009_EEG_01.edf,,678.18,F8,O2@678.144:45.1;FZ@678.152:34.7;O1@678.156:59.5;P7@678.156:63.9;P3@678.160:52.3;T7@678.160:44.7;F8@678.180:68.8;F3@678.192:38.4;CZ@678.204:50.1;PZ@678.208:55.3,10,0.168472,-1,20.8617,6.7923
S01_009_EEG_01.edf,,678.312,FP1,FZ@678.304:40.7;C4@678.308:72.8;F4@678.308:40.6;FP1@678.312:225.8;FP2@678.332:210.4;O1@678.336:93.5;P7@678.340:96.1;P3@678.344:77.9;T7@678.344:61.0;C3@678.348:53.8;P4@678.352:65.8,11,0.942631,1,49.9514,7.5457
S01_009_EEG_01.edf,,678.412,O2,F3@678.412:31.3;O2@678.412:77.9;P8@678.412:66.3;F7@678.420:38.6;F8@678.420:52.4,5,0.437622,-1,20.5322,12.0484
S01_009_EEG_01.edf,,678.496,FP1,FP1@678.496:99.5;PZ@678.496:33.7;FP2@678.500:87.1;P3@678.504:35.8,4,0.869139,-1,49.9514,7.8455
S01_009_EEG_01.edf,,678.592,P4,F8@678.592:37.4;O2@678.592:35.8;P4@678.592:45.0,3,0.010832,1,17.6706,8.9291
S01_009_EEG_01.edf,,678.708,O1,O1@678.708:34.8;F4@678.740:24.1;C3@678.744:21.2;P3@678.748:34.1,4,0.011048,-1,21.2302,7.127
S01_009_EEG_01.edf,,678.828,P7,P7@678.828:35.7;FZ@678.836:23.2,2,0.003648,-1,21.3068,8.4194
S01_009_EEG_01.edf,,678.9,O1,FP1@678.896:38.4;PZ@678.896:21.9;FP2@678.900:42.0;O1@678.900:47.1;O2@678.900:34.1;F4@678.912:21.9;CZ@678.916:26.7;F8@678.928:31.3,8,0.003711,1,21.2302,9.2382
S01_009_EEG_01.edf,,679.096,FP1,F3@678.988:27.1;FZ@678.992:28.2;P8@678.992:23.8;C3@679.012:19.0;C4@679.012:33.3;F7@679.012:31.8;P4@679.012:37.2;T7@679.012:35.5;P7@679.032:50.9;T8@679.032:24.6;P3@679.064:30.2;FP1@679.096:54.3;PZ@679.096:26.5;O2@679.104:33.0;CZ@679.116:25.3;F4@679.152:28.2;FP2@679.152:31.0;FZ@679.152:32.0;P8@679.152:36.7;O1@679.200:43.6;P3@679.232:26.1,18,0.000536,-1,49.9514,7.4084
S01_009_EEG_01.edf,,679.296,P4,PZ@679.252:31.1;CZ@679.280:26.4;P7@679.288:46.9;T7@679.292:31.3;C4@679.296:47.8;O2@679.296:27.7;P4@679.296:49.4;F3@679.300:32.1;F7@679.300:22.9;FP1@679.300:39.5;C3@679.332:23.1,11,0.038064,1,15.5461,14.5081
S01_009_EEG_01.edf,,679.384,T8,F4@679.360:18.4;T8@679.384:28.0;FZ@679.388:18.0,3,0.143349,1,14.1887,9.2362
S01_009_EEG_01.edf,,679.648,O1,P3@679.540:22.9;F7@679.560:22.8;FP2@679.560:32.8;PZ@679.560:20.2;F4@679.564:23.6;CZ@679.576:15.3;FZ@679.596:24.9;F3@679.600:23.1;P8@679.600:30.7;FP1@679.604:34.0;F8@679.648:35.8;O1@679.648:46.5;P7@679.652:32.1;O2@679.684:35.3,14,0.044805,-1,13.759,9.49
S01_009_EEG_01.edf,,679.824,O1,O1@679.824:41.4;P8@679.864:26.9;F3@679.868:19.8;FZ@679.868:22.1;P7@679.872:33.6,5,0.006734,1,13.759,6.8614
S01_009_EEG_01.edf,,680.036,O1,O1@680.036:24.6;P7@680.036:20.8,2,0.006056,1,11.4781,7.4632
S01_009_EEG_01.edf,,680.108,F8,P3@680.092:15.7;F8@680.108:22.9,2,0.022842,-1,9.2185,6.6906
