gap_s,cdf
0.05999999999999961,0.008928571428571428
0.0600000000000005,0.017857142857142856
0.08799999999999963,0.026785714285714284
0.1080000000000001,0.03571428571428571
0.11599999999999966,0.044642857142857144
0.12399999999999989,0.05357142857142857
0.1280000000000001,0.0625
0.13199999999999967,0.07142857142857142
0.16000000000000014,0.08035714285714286
0.1639999999999997,0.08928571428571429
0.1640000000000006,0.09821428571428571
0.1720000000000006,0.10714285714285714
0.17599999999999838,0.11607142857142858
0.1800000000000006,0.125
0.18400000000000105,0.13392857142857142
0.20000000000000018,0.14285714285714285
0.20800000000000018,0.15178571428571427
0.20800000000000018,0.16071428571428573
0.21199999999999974,0.16964285714285715
0.2120000000000002,0.17857142857142858
0.22000000000000064,0.1875
0.2280000000000002,0.19642857142857142
0.23599999999999977,0.20535714285714285
0.24800000000000022,0.21428571428571427
0.2559999999999998,0.22321428571428573
0.2560000000000002,0.23214285714285715
0.2599999999999998,0.24107142857142858
0.2599999999999998,0.25
0.2600000000000007,0.25892857142857145
0.27199999999999847,0.26785714285714285
0.27199999999999935,0.2767857142857143
0.27200000000000024,0.2857142857142857
0.27200000000000024,0.29464285714285715
0.28,0.30357142857142855
0.2839999999999998,0.3125
0.2959999999999994,0.32142857142857145
0.30400000000000027,0.33035714285714285
0.3280000000000003,0.3392857142857143
0.33999999999999986,0.3482142857142857
0.3719999999999999,0.35714285714285715
0.37200000000000033,0.36607142857142855
0.38399999999999945,0.375
0.43599999999999994,0.38392857142857145
0.524,0.39285714285714285
0.5279999999999987,0.4017857142857143
0.544,0.4107142857142857
0.5919999999999996,0.41964285714285715
0.604000000000001,0.42857142857142855
0.6200000000000001,0.4375
0.6399999999999997,0.44642857142857145
0.6600000000000001,0.45535714285714285
0.6639999999999997,0.4642857142857143
0.6959999999999997,0.4732142857142857
0.7159999999999997,0.48214285714285715
0.7640000000000002,0.49107142857142855
0.8199999999999994,0.5
0.8399999999999999,0.5089285714285714
0.8759999999999994,0.5178571428571429
0.8879999999999999,0.5267857142857143
0.8919999999999995,0.5357142857142857
0.8919999999999999,0.5446428571428571
0.9279999999999999,0.5535714285714286
1.0439999999999996,0.5625
1.08,0.5714285714285714
1.0839999999999996,0.5803571428571429
1.1719999999999997,0.5892857142857143
1.2320000000000002,0.5982142857142857
1.2479999999999993,0.6071428571428571
1.2719999999999998,0.6160714285714286
1.344,0.625
1.38,0.6339285714285714
1.436,0.6428571428571429
1.468,0.6517857142857143
1.5120000000000005,0.6607142857142857
1.6080000000000005,0.6696428571428571
1.6480000000000006,0.6785714285714286
1.6600000000000001,0.6875
1.6600000000000001,0.6964285714285714
1.7240000000000002,0.7053571428571429
1.7560000000000011,0.7142857142857143
1.8480000000000003,0.7232142857142857
1.8599999999999994,0.7321428571428571
1.912,0.7410714285714286
1.9600000000000009,0.75
2.0200000000000005,0.7589285714285714
2.024,0.7678571428571429
2.176,0.7767857142857143
2.192,0.7857142857142857
2.2119999999999997,0.7946428571428571
2.352,0.8035714285714286
2.524000000000001,0.8125
2.528,0.8214285714285714
2.6560000000000006,0.8303571428571429
2.8040000000000003,0.8392857142857143
3.071999999999999,0.8482142857142857
3.092,0.8571428571428571
3.1919999999999997,0.8660714285714286
3.2640000000000002,0.875
3.2920000000000003,0.8839285714285714
3.7319999999999998,0.8928571428571429
3.9560000000000004,0.9017857142857143
3.960000000000001,0.9107142857142857
4.272,0.9196428571428571
4.343999999999999,0.9285714285714286
4.48,0.9375
4.72,0.9464285714285714
5.355999999999999,0.9553571428571429
6.424000000000001,0.9642857142857143
6.968,0.9732142857142857
7.272000000000001,0.9821428571428571
8.108,0.9910714285714286
8.292,1.0
