log10_gap_s,gap_s,density
-1.4218487496163592,0.037857440668811346,0.03071367925816381
-1.4154815615385692,0.038416556901449794,0.03201427105748157
-1.4091143734607794,0.03898393071717036,0.033351745200874645
-1.4027471853829894,0.03955968407215031,0.03472658111271438
-1.3963799973051996,0.040143940723736615,0.03613927520928386
-1.3900128092274096,0.04073682625704759,0.03759034402775818
-1.3836456211496195,0.04133846811196706,0.0390803274244183
-1.3772784330718297,0.041948995610537464,0.04060979182015719
-1.3709112449940397,0.042568539984757486,0.042179333469943056
-1.36454405691625,0.04319723440479006,0.04378958173164026
-1.35817686883846,0.04383521400758724,0.0454412023084706
-1.3518096807606699,0.04448261592593757,0.047134900438425394
-1.34544249268288,0.04513957931794262,0.048871424003143794
-1.33907530460509,0.04580624539692891,0.050651566528144606
-1.3327081165273003,0.04648275746180131,0.05247617004585862
-1.3263409284495102,0.04716926092784518,0.0543461277926641
-1.3199737403717202,0.047865903357982936,0.056262386711071734
-1.3136065522939304,0.048572834494492616,0.05822594972835759
-1.3072393642161404,0.0492902062911948,0.06023787778329258
-1.3008721761383506,0.050018172946114714,0.06229929157316768
-1.2945049880605606,0.05075689093462706,0.06441137299406956
-1.2881377999827706,0.05150651904309001,0.0665753662483056
-1.2817706119049808,0.052267218402976136,0.06879257859401695
-1.2754034238271907,0.053039152525507526,0.07106438071334019
-1.269036235749401,0.05382248733680204,0.07339220667696977
-1.262669047671611,0.05461739121353915,0.07577755348463464
-1.2563018595938211,0.05542403501915201,0.07822198016281015
-1.249934671516031,0.056242592140554555,0.08072710640293967
-1.243567483438241,0.057073238525410526,0.08329461072550665
-1.2372002953604513,0.0579161527199533,0.08592622815749255
-1.2308331072826613,0.05877151590736419,0.08862374741302907
-1.2244659192048712,0.05963951194671736,0.09138900756941352
-1.2180987311270814,0.060520327412500144,0.09422389423308407
-1.2117315430492914,0.061414151634717036,0.09713033519261689
-1.2053643549715016,0.062321176739585704,0.10011029555831367
-1.1989971668937116,0.0632415976908345,0.10316577239047037
-1.1926299788159218,0.06417561233160933,0.10629878882093508
-1.1862627907381318,0.06512342142700007,0.1095113876750822
-1.1798956026603418,0.06608522870719447,0.11280562460381031
-1.173528414582552,0.06706124091126975,0.11618356073762756
-1.167161226504762,0.06805166783163097,0.119647254877292
-1.160794038426972,0.06905672235910541,0.12319875523782099
-1.1544268503491821,0.0700766205287033,0.12684009076497377
-1.1480596622713921,0.07111158156605418,0.1305732620455236
-1.1416924741936023,0.07216182793452906,0.13440023183477337
-1.1353252861158123,0.07322758538305879,0.13832291522683987
-1.1289580980380225,0.07430908299465816,0.14234316949519513
-1.1225909099602325,0.07540655323566733,0.14646278363286974
-1.1162237218824425,0.07652023200571982,0.15068346762352164
-1.1098565338046527,0.0776503586884489,0.155006841476319
-1.1034893457268626,0.07879717620294288,0.15943442405923713
-1.0971221576490726,0.07996093105596001,0.1639676217669443
-1.0907549695712828,0.08114187339491483,0.16860771706096553
-1.0843877814934928,0.08234025706164713,0.17335585692124086
-1.078020593415703,0.0835563396469846,0.17821304124956475
-1.071653405337913,0.08479038254611192,0.18318011126670974
-1.0652862172601232,0.08604265101475697,0.1882577379462679
-1.0589190291823332,0.08731341422620746,0.19344641052944697
-1.0525518411045431,0.08860294532916911,0.19874642516618227
-1.0461846530267533,0.08991152150647859,0.20415787372900718
-1.0398174649489633,0.0912394240346838,0.20968063284714197
-1.0334502768711733,0.0925869383445035,0.21531435320922243
-1.0270830887933835,0.09395435408218049,0.22105844918398612
-1.0207159007155935,0.09534196517174062,0.22691208880906658
-1.0143487126378037,0.09675006987817115,0.2328741841987862
-1.0079815245600137,0.09817897087153267,0.23894338242251678
-1.0016143364822239,0.09962897529201725,0.24511805690572697
-0.9952471484044338,0.10110039481596815,0.2513962994063039
-0.9888799603266438,0.10259354572287384,0.2577759126190498
-0.982512772248854,0.10410874896335195,0.2642544034614467
-0.976145584171064,0.10564633022813741,0.2708289770937905
-0.9697783960932741,0.10720662001808869,0.2774965317266361
-0.9634112080154842,0.10878995371522887,0.2842536542681202
-0.9570440199376942,0.11039667165483542,0.29109661686313154
-0.9506768318599044,0.11202711919859462,0.29802137437543985
-0.9443096437821143,0.11368164680883687,0.3050235628627811
-0.9379424557043244,0.1153606101238677,0.3120984990934573
-0.9315752676265345,0.11706437003441195,0.31924118115128053
-0.9252080795487446,0.11879329276118664,0.32644629017358706
-0.9188408914709547,0.12054774993361955,0.3337081932646082
