group,t_prev,t_next,gap_s,kind
S08,6.136,6.216,0.08000000000000007,within_ied
S11,6.668,6.768,0.09999999999999964,within_ied
S13,6.16,6.22,0.05999999999999961,within_ied
S16,6.528,6.608,0.08000000000000007,within_ied
S21,6.212,6.284,0.07200000000000006,within_ied
S29,6.476,6.58,0.10400000000000009,within_ied
S33,6.324,6.416,0.09200000000000053,within_ied
S50,6.328,6.408,0.08000000000000007,within_ied
S62,6.496,6.536,0.03999999999999915,within_ied
S62,6.536,6.536,0.0,within_ied
S62,6.536,6.612,0.07600000000000051,within_ied
S69,6.632,6.708,0.07600000000000051,within_ied
S69,6.708,6.732,0.02400000000000002,within_ied
S76,6.62,6.712,0.09199999999999964,within_ied
S82,2.324,2.42,0.09600000000000009,within_ied
