gap_s,cdf
0.0,0.05555555555555555
0.02400000000000002,0.1111111111111111
0.03999999999999915,0.16666666666666666
0.05999999999999961,0.2222222222222222
0.06400000000000006,0.2777777777777778
0.0680000000000005,0.3333333333333333
0.07200000000000006,0.3888888888888889
0.07200000000000006,0.4444444444444444
0.07600000000000051,0.5
0.07600000000000051,0.5555555555555556
0.08000000000000007,0.6111111111111112
0.08000000000000007,0.6666666666666666
0.08000000000000007,0.7222222222222222
0.09199999999999964,0.7777777777777778
0.09200000000000053,0.8333333333333334
0.09600000000000009,0.8888888888888888
0.09999999999999964,0.9444444444444444
0.10400000000000009,1.0
