bin_lo,bin_hi,n_fp,n_within_ied
0.0008999999999999998,0.0013217558380740305,0,0
0.0013217558380740305,0.0019411538838697592,0,0
0.0019411538838697592,0.0028508127540054847,0,0
0.0028508127540054847,0.0041867537787362834,0,0
0.0041867537787362834,0.0061487402773591025,0,0
0.0061487402773591025,0.009030148176000365,0,0
0.009030148176000365,0.013261834522557834,0,0
0.013261834522557834,0.01947656355973616,0,0
0.01947656355973616,0.028603623989668,0,1
0.028603623989668,0.04200778555379789,0,1
0.04200778555379789,0.061693373111438105,2,1
0.061693373111438105,0.09060397342280306,1,9
0.09060397342280306,0.13306258980477143,5,5
0.13306258980477143,0.19541806100411868,7,0
0.19541806100411868,0.28699440333033444,20,0
0.28699440333033444,0.4214850312182696,7,0
0.4214850312182696,0.6190003340817366,6,0
0.6190003340817366,0.9090747837136787,13,0
0.9090747837136787,1.3350832251327145,8,0
1.3350832251327145,1.9607267190376345,15,0
1.9607267190376345,2.879557764173037,10,0
2.879557764173037,4.228969206519016,8,0
4.228969206519016,6.210738597502013,5,0
6.210738597502013,9.1212,5,0
