X_s,hits,misses,fp,fp_per_min,sensitivity
0.0,39,15,179,8.50356294536817,0.7222222222222222
0.1,39,15,176,8.36104513064133,0.7222222222222222
0.15,39,15,170,8.076009501187649,0.7222222222222222
0.25,38,16,146,6.935866983372922,0.7037037037037037
0.5,37,17,119,5.653206650831354,0.6851851851851852
0.75,37,17,110,5.225653206650831,0.6851851851851852
1.0,37,17,99,4.703087885985748,0.6851851851851852
2.0,35,19,75,3.5629453681710213,0.6481481481481481
5.0,31,23,49,2.3277909738717337,0.5740740740740741
