gap_s,jaccard
0.3280000000000003,0.3333333333333333
0.2839999999999998,0.38095238095238093
0.2600000000000007,0.4166666666666667
0.27199999999999935,0.5263157894736842
0.2599999999999998,0.6818181818181818
2.528,0.25
1.6600000000000001,0.3333333333333333
2.0200000000000005,0.42857142857142855
0.524,0.0
0.20000000000000018,0.68
0.8759999999999994,0.5833333333333334
0.604000000000001,0.42857142857142855
3.2640000000000002,0.7368421052631579
0.6399999999999997,0.2222222222222222
2.352,0.0
8.108,0.5
3.9560000000000004,0.68
0.2959999999999994,0.64
0.20800000000000018,0.32
0.2120000000000002,0.7391304347826086
0.2559999999999998,0.09523809523809523
3.1919999999999997,0.10526315789473684
2.6560000000000006,0.5714285714285714
0.6600000000000001,0.3333333333333333
0.1639999999999997,0.22727272727272727
0.28,0.2
0.12399999999999989,0.2777777777777778
6.424000000000001,0.7333333333333333
0.17599999999999838,0.5294117647058824
3.092,0.64
6.968,0.12
0.23599999999999977,0.4444444444444444
0.2280000000000002,0.23809523809523808
0.8399999999999999,0.0
0.7640000000000002,0.4117647058823529
0.05999999999999961,0.045454545454545456
0.8879999999999999,0.25
0.1720000000000006,0.25
0.8199999999999994,0.23529411764705882
4.272,0.14285714285714285
0.08799999999999963,0.0
0.30400000000000027,0.3157894736842105
1.2719999999999998,0.25
0.9279999999999999,0.15
0.27200000000000024,0.16
0.33999999999999986,0.84
1.1719999999999997,0.8333333333333334
1.9600000000000009,0.7083333333333334
0.5279999999999987,0.5909090909090909
1.6080000000000005,0.68
3.7319999999999998,0.4
2.524000000000001,0.56
0.27199999999999847,0.64
1.08,0.64
3.2920000000000003,0.047619047619047616
0.21199999999999974,0.16666666666666666
0.43599999999999994,0.5
1.468,0.05263157894736842
8.292,0.1875
0.2560000000000002,0.25
0.11599999999999966,0.0
1.8480000000000003,0.84
1.912,0.6
0.8919999999999995,0.6
4.48,0.4090909090909091
2.176,0.5652173913043478
0.544,0.6111111111111112
0.37200000000000033,0.55
5.355999999999999,0.6
4.343999999999999,0.88
0.3719999999999999,0.36
0.6200000000000001,0.2631578947368421
0.6639999999999997,0.35714285714285715
3.960000000000001,0.625
4.72,0.5217391304347826
0.1080000000000001,0.2222222222222222
0.1800000000000006,0.6
0.38399999999999945,0.6818181818181818
1.7240000000000002,0.3333333333333333
1.2479999999999993,0.23529411764705882
0.24800000000000022,0.2
0.1640000000000006,0.5
1.2320000000000002,0.2857142857142857
1.8599999999999994,0.3181818181818182
0.0600000000000005,0.0
3.071999999999999,0.3333333333333333
0.18400000000000105,0.15
1.344,0.26666666666666666
2.192,0.25
2.024,0.35294117647058826
1.6600000000000001,0.25
1.436,0.2
0.1280000000000001,0.16666666666666666
0.20800000000000018,0.26666666666666666
1.5120000000000005,0.88
2.8040000000000003,0.42857142857142855
0.6959999999999997,0.6666666666666666
0.22000000000000064,0.6521739130434783
2.2119999999999997,0.625
0.27200000000000024,0.5625
1.38,0.38095238095238093
0.5919999999999996,0.43478260869565216
1.0439999999999996,0.8
1.7560000000000011,0.7916666666666666
0.16000000000000014,0.6956521739130435
1.0839999999999996,0.5
0.2599999999999998,0.6086956521739131
0.8919999999999999,0.6842105263157895
0.7159999999999997,0.7368421052631579
7.272000000000001,0.8333333333333334
0.13199999999999967,0.09090909090909091
1.6480000000000006,0.35
